Date,Litters
Feb-20-01,2389893
Mar-20-01,6759954
Apr-20-01,4516632
May-20-01,2165196
Jun-20-01,2376486
Jul-20-01,3410724
Aug-20-01,2767746
Sep-20-01,3459720
Oct-20-01,3784044
Nov-20-01,2540274
Dec-20-01,3287496
Jan-21-01,3890937
Feb-21-01,4650660
Mar-21-01,5764578
Apr-21-01,6821100
May-21-01,7254648
Jun-21-01,6481314
Jul-21-01,6241554
Aug-21-01,6291486
Sep-21-01,6239490
Oct-21-01,6742308
Nov-21-01,5456148
Dec-21-01,5304552
Jan-22-01,5284776
Feb-22-01,5231382
Mar-22-01,6094938
Apr-22-01,7554138
May-22-01,8530008
Jun-22-01,7888158
Jul-22-01,6404232
Aug-22-01,6822576
Sep-22-01,5093316
Oct-22-01,4702842
Nov-22-01,3949650
Dec-22-01,3918798
Jan-23-01,3956790
Feb-23-01,4267176
Mar-23-01,2201724
